model,base,final
GPT-3.5 Turbo,0.36,0.32653061224489793
GPT-4 Turbo,0.44,0.86
Llama 2 7B Chat,0.4166666666666667,0.6666666666666666
Llama 2 7B Chat (fp16),0.3191489361702128,0.275
Llama 2 7B Chat (AWQ),0.30434782608695654,0.2857142857142857
Llama 2 13B Chat,0.24489795918367346,0.2708333333333333
Llama 2 13B Chat (fp16),0.30612244897959184,0.425531914893617
Llama 2 13B Chat (AWQ),0.3958333333333333,0.44680851063829785
CodeLlama 13B Instruct,0.6136363636363636,0.8409090909090909
Mistral 7B Instruct,0.3235294117647059,0.5
Vicuna 13B,0.38,0.5238095238095238
